base_normativa_para_a_concessao_de_regimes_especiais_com_o_tratamento_tributario_de_reducao_de_aliquota;unnamed_1;unnamed_2
Norma;Dispositivo normativo;
Lei 6.763/1975;art. 12, § 32;
Lei 6.763/1975;art. 12, § 33;
Lei 6.763/1975;art. 12, § 36;
Lei 6.763/1975;Art. 225;
Lei 6.763/1975;Art. 225-A;
Convênio ICMS 190/17;Íntegra do Convênio ;
Lei nº 23.090/2018;art. 2º;
Lei Complementar nº 160;art. 3°, §§ 3°, 4° e 7º ;
;Decreto nº 43.080/2002;Decreto n° 48.589/2023
 Regulamento do ICMS;art. 42 § 13;Art. 11 § 4º
 Regulamento do ICMS;art. 42 § 13-A;Art. 11 § 5º
